uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"2d11207d-c4b3-4e89-b065-4677058d9160","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",492,"2017-11-16T15:51:50Z",65.50,62.70,4.81,102.06,106.61,101.71,106.25
"dfcf106e-bf56-4ed0-9b97-290f130538f4","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",994,"2017-11-16T17:15:30Z",12.00,11.70,7.74,17.45,17.90,17.50,17.95
"e7e432e4-6efd-4eca-83d1-ddd595bb15c2","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1070,"2017-11-16T17:28:10Z",12.00,12.10,7.56,18.14,17.99,18.19,18.04
"a3c7a0ec-65f0-4130-93ac-012b1551ca7e","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1550,"2017-11-16T18:48:10Z",494.70,19.70,14.02,24.93,625.98,25.12,630.78
"1c913e3b-4185-4fcc-a15f-563d6beb22db","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1286,"2017-11-16T18:04:10Z",12.20,12.10,7.66,18.09,18.24,18.14,18.29
"ef10d8e1-e3fb-4e8b-9ba4-d4c0bdedc05a","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1643,"2017-11-16T19:03:40Z",3.10,7.40,17.20,8.70,3.64,8.76,3.67
"2984e1df-f834-4ec7-8225-29155749695b","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",507,"2017-11-16T15:54:20Z",65.50,62.30,4.81,101.40,106.61,101.06,106.25
"f3fefc5c-69fd-4e46-9ff3-06cf98ebfe3e","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",32,"2017-11-16T14:35:10Z",2.80,7.10,16.15,8.54,3.37,8.61,3.39
"50a329c6-0b7e-4fdd-a2a6-3ce79b1e8c9c","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",128,"2017-11-16T14:51:10Z",2.60,7.10,15.74,8.63,3.16,8.69,3.18
"5579a34c-891f-40e3-a2a0-5fd72a90d3bf","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",261,"2017-11-16T15:13:20Z",2.60,7.10,14.96,8.78,3.22,8.85,3.24
"553da1a3-fb50-406c-92b2-3a312ec3bf80","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1459,"2017-11-16T18:33:00Z",12.30,12.10,7.47,18.19,18.49,18.24,18.54
"b650b818-3c75-477c-9342-fdbdb8119a1d","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1579,"2017-11-16T18:53:00Z",2.90,24.20,13.70,30.86,3.70,31.10,3.73
"2915ca87-8720-453d-abf9-c84b57d99fc9","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",316,"2017-11-16T15:22:30Z",2.70,7.10,13.88,9.01,3.43,9.08,3.45
"94dcb7c6-3edd-4a6b-b001-3e6286aca2ac","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1543,"2017-11-16T18:47:00Z",4.00,7.10,7.82,10.57,5.95,10.60,5.97
"71a6ee2c-cbcf-4d0e-bcb3-e839240dfea0","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1605,"2017-11-16T18:57:20Z",2.90,13.90,15.31,17.06,3.56,17.19,3.59
"4c9241ec-bf34-41ec-8ae2-b67f7dbc2969","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",51,"2017-11-16T14:38:20Z",2.60,7.10,16.06,8.56,3.14,8.63,3.16
"a186ae2d-0ee3-4dda-87d4-bbcca9403e77","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1240,"2017-11-16T17:56:30Z",12.10,12.10,7.55,18.15,18.15,18.20,18.20
"4d4c7599-df30-4672-9006-fd9545cf4db7","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1378,"2017-11-16T18:19:30Z",12.30,12.10,7.78,18.03,18.33,18.08,18.38
"7644a72a-39e5-42c2-8f8d-9778f48ce57e","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1162,"2017-11-16T17:43:30Z",12.10,12.10,7.51,18.17,18.17,18.22,18.22
"d2ad57c3-90a8-4d80-a927-1c369890b7c4","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",191,"2017-11-16T15:01:40Z",4.00,7.10,15.37,8.70,4.90,8.77,4.94
"1406eb61-9aba-4032-ac4a-c60b09597fb3","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1087,"2017-11-16T17:31:00Z",12.00,12.10,7.53,18.16,18.01,18.21,18.06
"d2955522-6110-4642-85fa-c11503c9117c","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1499,"2017-11-16T18:39:40Z",12.20,12.10,7.28,18.29,18.44,18.33,18.48
"3bf6da78-263d-43ca-93c6-94c2cd447d2f","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",483,"2017-11-16T15:50:20Z",65.60,62.70,4.80,102.09,106.81,101.73,106.44
"5daf509e-7d7b-4288-ac86-997404f6fc19","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1303,"2017-11-16T18:07:00Z",12.20,12.10,7.64,18.10,18.25,18.15,18.30
"e3a7f7c0-5c58-4cfd-9d4e-7b35fee8b7a2","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",438,"2017-11-16T15:42:50Z",65.70,62.70,4.77,102.18,107.07,101.82,106.69
"6624fec7-072e-4895-a6e5-31dcde30f7ef","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",219,"2017-11-16T15:06:20Z",4.00,7.10,15.21,8.73,4.92,8.80,4.96
