uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"276de1f3-ca13-4fd4-b657-59548ddb3fdd","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.02.20171116.GAS",,0.74926,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"ccac28c3-15e3-4799-8d90-362f0db4ed31","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.20.20171116.GAS",,0.43412,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"9260c0bc-9385-4293-b50b-eecae63aa1fb","D01","HOPB","HOPB.AOS.reaeration.station.02","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.09.20171116.GAS",,0.67241,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"4df7bd37-94dd-458c-9693-47ff2c885858","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.01.20171116.GAS",,0.79248,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"7b0dce50-fe71-4b0e-8a1d-6ac9549e6cb6","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.18.20171116.GAS",,0.39974,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"feeb9459-ac3e-4fd5-81c6-dd3ee134723b","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.19.20171116.GAS",,0.44189,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"3e4e2de0-4530-4df6-bff5-e4343c35f611","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.17.20171116.GAS",,0.42479,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"9998c809-e09e-46a3-b54d-037e5932a98b","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.03.20171116.GAS",,0.77327,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"d2d59f6e-3f47-40ff-96dc-3af088d88385","D01","HOPB","HOPB.AOS.reaeration.station.03","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.11.20171116.GAS",,0.47315,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"55bbeb3e-017d-4f9c-acea-7c738ee8169e","D01","HOPB","HOPB.AOS.reaeration.station.02","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.06.20171116.GAS",,0.67721,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"58600b48-b9ec-4348-a37b-97f20dfb31f1","D01","HOPB","HOPB.AOS.reaeration.station.03","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.15.20171116.GAS",,0.48509,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
"204e9ff5-ee99-4bd6-8071-a1c8291c41f0","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-11-16T15:00Z","2017-12-19T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.04.20171116.GAS",,0.8261,,,,"OK",,,"#14 destroyed removing tape; too much tape",,-1
