uid,domainID,siteID,namedLocation,collectDate,stationToInjectionDistance,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,sampleCollected,saltBackgroundSampleID,saltBackgroundSampleCode,remarks,incompleteExperimentQF
"cefa3aff-a155-4c25-854c-d30e8adbcc81","D13","COMO","COMO.AOS.reaeration.station.02","2017-07-06T16:45Z",38.60,21.40,21.30,21.30,20.90,"Y","COMO.B2.20170706.TCR",,,
"e9797c9f-bddd-4802-aa71-1e136cb145dc","D13","COMO","COMO.AOS.reaeration.station.04","2017-07-06T16:45Z",101.60,21.00,20.90,20.10,20.00,"Y","COMO.B4.20170706.TCR",,,
"fb6ddc6d-acae-4c19-8902-3379b6e54274","D13","COMO","COMO.AOS.reaeration.station.01","2017-07-06T16:45Z",18.60,19.80,20.70,21.30,21.10,"Y","COMO.B1.20170706.TCR",,,
"b2a88051-81eb-43d1-9156-335db6910d19","D13","COMO","COMO.AOS.reaeration.station.03","2017-07-06T16:45Z",68.60,21.70,22.20,21.20,20.60,"Y","COMO.B3.20170706.TCR",,,
"dab87d0b-2872-4ab0-b1d5-dd9b0ac2f759","D13","COMO","COMO.AOS.reaeration.station.03","2017-07-17T18:00Z",68.60,23.70,24.30,24.20,22.20,"Y","COMO.B3.20170717.TCR",,,
"dcdacbce-5a25-4830-a6a8-b77baedd87ac","D13","COMO","COMO.AOS.reaeration.station.04","2017-07-17T18:00Z",101.60,24.30,25.60,26.20,25.40,"Y","COMO.B4.20170717.TCR",,,
"1b08d1c0-db20-47a1-80ed-491fc8d8d9f2","D13","COMO","COMO.AOS.reaeration.station.02","2017-07-17T18:00Z",38.60,28.50,28.80,30.40,29.80,"Y","COMO.B2.20170717.TCR",,,
"ad33ad3f-0860-4eaa-8ae9-6187950ee27c","D13","COMO","COMO.AOS.reaeration.station.01","2017-07-17T18:00Z",18.60,27.80,26.80,26.40,25.60,"Y","COMO.B1.20170717.TCR",,,
"4fe1f41c-7454-459f-9a65-499d970d18a8","D13","COMO","COMO.AOS.reaeration.station.01","2017-07-25T16:04Z",18.60,26.40,27.90,25.60,33.70,"Y","COMO.B1.20170725.TCR",,,
"08099fd8-c642-446b-9153-bf169d8bd2c7","D13","COMO","COMO.AOS.reaeration.station.02","2017-07-25T16:04Z",38.60,27.50,26.60,26.80,25.60,"Y","COMO.B2.20170725.TCR",,,
"506e562a-3d3b-411f-9972-d6d2836414d8","D13","COMO","COMO.AOS.reaeration.station.03","2017-07-25T16:04Z",68.60,27.00,27.10,27.20,26.20,"Y","COMO.B3.20170725.TCR",,,
"d9f1e326-d274-49a0-8c64-1e42d09d3397","D13","COMO","COMO.AOS.reaeration.station.04","2017-07-25T16:04Z",101.60,26.20,24.80,22.80,26.40,"Y","COMO.B4.20170725.TCR",,,
