uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"5a96a76e-87f3-49a2-80f7-ea0d3c4dce7b","D04","GUIL","GUIL","2016-11-04T16:00Z",,32,6.30,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"e4f9420e-5da9-42fb-9009-8898583a7732","D04","GUIL","GUIL","2016-11-04T16:00Z",,31,5.10,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"d44a7264-1947-40c1-92ae-088b52f7aafa","D04","GUIL","GUIL","2016-11-04T16:00Z",,30,4.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"a63b58b0-b52c-4fca-8f13-cf3b362be9de","D04","GUIL","GUIL","2016-11-04T16:00Z",,33,5.95,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"24c0c7b5-d349-4370-adef-9abc5a6ec02f","D04","GUIL","GUIL","2016-11-04T16:00Z",,21,3.75,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"27b81e03-5353-49b1-81ad-70ae4ee5813a","D04","GUIL","GUIL","2016-11-04T16:00Z",,3,5.15,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"47242071-939f-4a8f-8b00-37f363b49ce6","D04","GUIL","GUIL","2016-11-04T16:00Z",,2,5.20,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"ca6d21c6-c04e-4e30-a0ba-9eb9430258ab","D04","GUIL","GUIL","2016-11-04T16:00Z",,22,9.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"e1420f5c-fffb-4e52-bdf1-346e53bd0b01","D04","GUIL","GUIL","2016-11-04T16:00Z",,4,5.30,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"35ee3529-a06b-46fa-adae-863fca69ac20","D04","GUIL","GUIL","2016-11-04T16:00Z",,27,7.55,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"953728a4-29fe-4c48-8896-7e890f224a7d","D04","GUIL","GUIL","2016-11-04T16:00Z",,29,6.70,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"79f4fd01-317e-4200-94ae-8d3d6077e604","D04","GUIL","GUIL","2016-11-04T16:00Z",,9,4.40,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"6ba3f3d5-b2f3-4e6b-8bda-0cc8108fbceb","D04","GUIL","GUIL","2016-11-04T16:00Z",,1,7.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"2fd32153-6e80-424c-ad9c-35e4c572305b","D04","GUIL","GUIL","2016-11-04T16:00Z",,11,7.30,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"e5afa94a-2983-481e-98cf-efae750dc51b","D04","GUIL","GUIL","2016-11-04T16:00Z",,8,6.25,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"638ceae6-cbdc-41c5-a540-58724fac88a6","D04","GUIL","GUIL","2016-11-04T16:00Z",,12,4.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"120383df-8d89-49c3-9952-97e6360de585","D04","GUIL","GUIL","2016-11-04T16:00Z",,26,4.00,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"f45f7f04-cf58-4e3d-b610-483149bde927","D04","GUIL","GUIL","2016-11-04T16:00Z",,23,9.45,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"29482c3a-c0ad-46d5-9047-b578a7adc35f","D04","GUIL","GUIL","2016-11-04T16:00Z",,24,6.95,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"101e5950-81a8-431b-ae58-1ebc150e7fe5","D04","GUIL","GUIL","2016-11-04T16:00Z",,6,7.00,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"147d4520-1a09-4d67-a916-68053dfd351c","D04","GUIL","GUIL","2016-11-04T16:00Z",,5,6.75,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"808069b0-7406-4df5-8f16-666ab250a9bb","D04","GUIL","GUIL","2016-11-04T16:00Z",,15,5.15,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"c570036f-f4fd-4515-bd55-24f7e8c0db37","D04","GUIL","GUIL","2016-11-04T16:00Z",,28,6.35,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"559e83f6-8725-4fa2-b8f9-9beb4c6dc0f2","D04","GUIL","GUIL","2016-11-04T16:00Z",,10,4.00,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"b7453d4f-a0f4-49c5-a5c3-3bd8f30ae881","D04","GUIL","GUIL","2016-11-04T16:00Z",,19,3.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"1524ce71-b22a-43aa-bdd5-dd24c34f6158","D04","GUIL","GUIL","2016-11-04T16:00Z",,25,3.15,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"974962e5-8e90-4c9a-964d-85142e3a5bfc","D04","GUIL","GUIL","2016-11-04T16:00Z",,7,7.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"4545bfa9-77a5-4e71-8c9b-a6a6673c76c0","D04","GUIL","GUIL","2016-11-04T16:00Z",,18,6.10,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"16d993be-190d-4115-a5ab-8e884cb0f43d","D04","GUIL","GUIL","2016-11-04T16:00Z",,20,3.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"7fdf0440-e05e-4365-a85b-78f99555f514","D04","GUIL","GUIL","2016-11-04T16:00Z",,14,6.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"cd9c0d2b-7d51-4e6c-86b4-916de5e69ba3","D04","GUIL","GUIL","2016-11-04T16:00Z",,17,6.35,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"1aade52e-c626-4473-99c8-bd4e78e8dfe2","D04","GUIL","GUIL","2016-11-04T16:00Z",,16,5.55,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"2b6b1759-eb52-47cb-9838-58bf618e31ea","D04","GUIL","GUIL","2016-11-04T16:00Z",,13,3.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
