uid,domainID,siteID,namedLocation,startDate,stationToInjectionDistance,hoboSampleID
"10833467-e171-45b9-a079-cdaeee5ff0bf","D04","CUPE","CUPE.AOS.reaeration.station.04","2017-11-03T12:00Z",327.00,"CUPE_S4_20171103"
"e2a41f5f-6f5f-4850-ab7d-f0e9d6648252","D04","CUPE","CUPE.AOS.reaeration.station.01","2017-11-03T12:00Z",64.00,"CUPE_S1_20171103"
