name,pubCode,description,startDate,endDate
"aquaticSiteType","lake","lake",2012-01-01T00:00:00Z,
"aquaticSiteType","stream","stream",2012-01-01T00:00:00Z,
"aquaticSiteType","river","river",2012-01-01T00:00:00Z,
"fsh.actualOrEstimated","actual","actual",2012-01-01T00:00:00Z,
"fsh.actualOrEstimated","estimated","estimated",2012-01-01T00:00:00Z,
"fsh.delt","Deformities","Deformities",2012-01-01T00:00:00Z,
"fsh.delt","Eroded fins","Eroded fins",2012-01-01T00:00:00Z,
"fsh.delt","Lesions/parasites","Lesions/parasites",2012-01-01T00:00:00Z,
"fsh.delt","Tumors","Tumors",2012-01-01T00:00:00Z,
"fsh.fixedRandom","fixed","fixed reach, sampled every year, 3 passes each time",2012-01-01T00:00:00Z,
"fsh.fixedRandom","random","random reach, sampled every 2-3 years on average, 1 pass each time",2012-01-01T00:00:00Z,
"fsh.habitatType","riffle","Shallow, swift stream habitat with high turbulence, typically with relatively coarse sediment size",2012-01-01T00:00:00Z,
"fsh.habitatType","run","Shallow to deep stream habitat with swift to moderate flow, characterized by low turbulence (i.e., smooth water surface)",2012-01-01T00:00:00Z,
"fsh.habitatType","pool","Typically the deepest habitats in a stream, pools are characterized by smaller substrate size and relatively slow moving water",2012-01-01T00:00:00Z,
"fsh.habitatType","step pool","In high-gradient streams, a series of pools separated by boulder or cobble steps, causing fast flow over the steps and slow flow in the pools",2012-01-01T00:00:00Z,
"fsh.habitatType","mix","A mix of multiple habitat types",2012-01-01T00:00:00Z,
"fsh.habitatType","littoral","The shallow zone along the shore of a lake or river where light penetration reaches the bottom",2012-01-01T00:00:00Z,
"fsh.habitatType","pelagic","The part of the lake or river that is not near shore or close to the bottom",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Johnson, Dan. 2007. Fish of the Colorado Field Guide. Cambridge: Adventure Publications.","Johnson, Dan. 2007. Fish of the Colorado Field Guide. Cambridge: Adventure Publications.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Etnier, David A., and Wayne C. Starnes. 1993. The fishes of Tennessee. University of Tennessee Press, Knoxville, TN, USA.","Etnier, David A., and Wayne C. Starnes. 1993. The fishes of Tennessee. University of Tennessee Press, Knoxville, TN, USA.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Mincley WL, Marsh PC. 2009. Insland Fishes of the greater southwest:  cronicle of a vanishing biota.  Univ. Ariz. Press, Tucson, AZ, USA.","Mincley WL, Marsh PC. 2009. Insland Fishes of the greater southwest:  cronicle of a vanishing biota.  Univ. Ariz. Press, Tucson, AZ, USA.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Miller, Rudolph J., and Henry W. Robison. 2004. Fishes of Oklahoma. University of Oklahoma Press, Norman, OK, USA.","Miller, Rudolph J., and Henry W. Robison. 2004. Fishes of Oklahoma. University of Oklahoma Press, Norman, OK, USA.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Thomas, C., Bonner, T. H., and B. G. Whiteside. 2007. Freshwater Fishes of Texas: A Field Guide. Texas A&M University Press, College Station, TX, USA.","Thomas, C., Bonner, T. H., and B. G. Whiteside. 2007. Freshwater Fishes of Texas: A Field Guide. Texas A&M University Press, College Station, TX, USA.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Jenkins, R. E., and N. M. Burkhead. 1993. Freshwater fishes of Virginia. American Fisheries Society, Bethesda, MD, USA.","Jenkins, R. E., and N. M. Burkhead. 1993. Freshwater fishes of Virginia. American Fisheries Society, Bethesda, MD, USA.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Kwak, T. J., Smith, W. E., Buttermore, E. N., Cooney, P. B., Cope, W. G. 2013. Fishery population and habitat assessment in Puerto Rico streams: phase 2 final report. U.S Geological Survey. http://pubs.er.usgs.gov/publication/70154939.","Kwak, T. J., Smith, W. E., Buttermore, E. N., Cooney, P. B., Cope, W. G. 2013. Fishery population and habitat assessment in Puerto Rico streams: phase 2 final report. U.S Geological Survey. http://pubs.er.usgs.gov/publication/70154939.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Kwak, T.J., P.B. Cooney, and C.H. Brown. 2007. Fishery population and habitat assessment in Puerto Rico streams: phase 1 final report. Federal Aid in Sport Fish Restoration Project F-50 Final Report, P.R. Dept. of Natural and Environmental Resources.","Kwak, T.J., P.B. Cooney, and C.H. Brown. 2007. Fishery population and habitat assessment in Puerto Rico streams: phase 1 final report. Federal Aid in Sport Fish Restoration Project F-50 Final Report, P.R. Dept. of Natural and Environmental Resources.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Neal, J.W., Lilyestrom, C.G., and T,J. Kwak. 2009. Factors Influencing Tropical Island Freshwater Fishes: Species, status, and Management Implications in Puerto Rico. Fisheries. Vol 34. no. 11. pg 546-554.","Neal, J.W., Lilyestrom, C.G., and T,J. Kwak. 2009. Factors Influencing Tropical Island Freshwater Fishes: Species, status, and Management Implications in Puerto Rico. Fisheries. Vol 34. no. 11. pg 546-554.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Woodling, John. 1985. Colorado's Litte Fish: A Guide to the Minnows and Other Lesser Known Fishes in the State of Colorado. Colorado Division of Wildlife.","Woodling, John. 1985. Colorado's Litte Fish: A Guide to the Minnows and Other Lesser Known Fishes in the State of Colorado. Colorado Division of Wildlife.",2012-01-01T00:00:00Z,
"fsh.identificationReferences","Page, L. M., & Burr, B. M. 2011. A field guide to freshwater fishes of North America north of Mexico (2nd ed.). Houghton Mifflin Harcourt, Boston, MA, USA.","Page, L. M., & Burr, B. M. 2011. A field guide to freshwater fishes of North America north of Mexico (2nd ed.). Houghton Mifflin Harcourt, Boston, MA, USA.",2012-01-01T00:00:00Z,
