uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"a450f17d-8859-4b6c-b4ab-79391732814b","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.06.20180227.GAS",,0.67607,0.050,2.700,2.000,"OK",,,,0.02,-1
"a6b62637-a602-445f-bc02-e3f8e8dfb8c9","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.02.20180227.GAS",,0.65983,0.050,2.700,2.000,"OK",,,,0.02,-1
"88e24e77-0bf8-4064-9d89-dd1d6d1c62a6","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.07.20180227.GAS",,0.649,0.050,2.700,2.000,"OK",,,,0.02,-1
"5c233efd-9b55-4b6b-ae89-ce116c29ff79","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.14.20180227.GAS",,0.64869,0.050,2.700,2.000,"OK",,,,0.02,-1
"08fe46ea-3e15-4896-a2d1-0610f0c8a4a1","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.08.20180227.GAS",,0.68054,0.050,2.700,2.000,"OK",,,,0.02,-1
"0bb26f0c-86ee-4127-a347-d2db10e41ea7","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.16.20180227.GAS",,0.69947,0.050,2.700,2.000,"OK",,,,0.02,-1
"9f991240-485b-4047-bf27-c9757d4fc015","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.11.20180227.GAS",,0.66524,0.050,2.700,2.000,"OK",,,,0.02,-1
"b5be01cd-a5ad-4b81-bab6-57a297fd9696","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.18.20180227.GAS",,0.67903,0.050,2.700,2.000,"OK",,,"bdl",0.02,-1
"756cc382-af22-4afc-a664-132fad939465","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.20.20180227.GAS",,0.67189,0.050,2.700,2.000,"OK",,,"bdl",0.02,-1
"a2d39022-bc0f-43ce-a1cb-2f1256e0d896","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.17.20180227.GAS",,0.69356,0.050,2.700,2.000,"OK",,,,0.02,-1
"e77f752b-b74c-4e4e-813a-54161ef04285","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.03.20180227.GAS",,0.67098,0.050,2.700,2.000,"OK",,,,0.02,-1
"0309049c-6d4b-4a1b-b0a9-69bebe3f93e7","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.13.20180227.GAS",,0.67672,0.050,2.700,2.000,"OK",,,,0.02,-1
"accd24ff-7b79-4b9e-992f-e957af992b7f","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.19.20180227.GAS",,0.74437,0.050,2.700,2.000,"OK",,,"bdl",0.02,-1
"dd8ac2e3-d4d2-4d09-b1a3-fa5fe20a070a","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.01.20180227.GAS",,0.66427,0.050,2.700,2.000,"OK",,,,0.02,-1
"d8061f1f-fdf9-4afe-88d4-e3368eb1c44c","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.05.20180227.GAS",,0.64794,0.050,2.700,2.000,"OK",,,,0.02,-1
"bd8d06cf-cf4c-4d68-ad44-5f86516e9587","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-02-27T18:42Z","2018-03-15T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.10.20180227.GAS",,0.64777,0.050,2.700,2.000,"OK",,,,0.02,-1
