site_int,site_id,year,reach,date,value,.lower,.upper
1,ARIK,2016,01,20160412,0.6295616460747134,0.5868202736933172,0.6851584298919439
2,ARIK,2016,06,20160413,0.4445958359368303,0.07194943005511692,0.77530750211106
3,ARIK,2016,09,20160414,0.7137141396883229,0.3579689720712156,0.8769186771950519
4,ARIK,2016,01,20161011,0.38081220114654707,0.027744921299941862,0.7635281961880015
5,ARIK,2016,06,20161011,0.814630618902979,0.5836122137604738,0.9089129235035232
6,ARIK,2016,09,20161012,0.13448557496608082,0.02228270476992849,0.45031623457155545
7,ARIK,2017,01,20170410,0.6903151788760669,0.1696503490730736,0.9228494720743138
8,ARIK,2017,06,20170411,0.553602113800562,0.27631975869922265,0.7166457312110894
9,ARIK,2017,09,20170412,0.8952178555174373,0.7831945317039337,0.9503586790498844
10,ARIK,2017,01,20171017,0.6694976188115781,0.40255295465515173,0.8181151983795
11,ARIK,2017,06,20171018,0.4710473549391456,0.20589856495480302,0.6820893344380127
12,ARIK,2017,09,20171019,0.9003449870486531,0.8032528223374023,0.9471680819625581
13,ARIK,2018,01,20180402,0.6331162335210709,0.3316049084903383,0.8041400245859993
14,ARIK,2018,06,20180403,0.669257029138078,0.4173556789217907,0.8448077839508674
15,ARIK,2018,09,20180404,0.8292524092867808,0.6461086488668094,0.9076503528071678
16,ARIK,2018,01,20181015,0.5743051510196304,0.4232878089130551,0.6720160276171496
17,ARIK,2018,06,20181017,0.03280810272083663,0.003751131868636238,0.09327158297959004
18,ARIK,2018,09,20181018,0.3591643111787508,0.1533663885193455,0.5316343771161132
19,ARIK,2019,01,20190409,0.6099127693486781,0.2432118754632006,0.8197644895775761
20,ARIK,2019,06,20190410,0.7786588664569767,0.6321421770815815,0.8728421246034652
21,ARIK,2019,01,20191014,0.24889777943227773,0.07696354674019597,0.40657708209800364
22,ARIK,2019,06,20191015,0.49517125962717723,0.3322689791596656,0.6300447335759405
23,ARIK,2019,09,20191016,0.658355635066633,0.5603578413454613,0.7351744606244057
24,ARIK,2021,01,20210405,0.20385491393673227,0.020671804142577837,0.6398159982036343
25,ARIK,2021,06,20210406,0.2448044162970151,0.020296967565001996,0.676302779800101
26,ARIK,2021,09,20210408,0.39089658560939067,0.028389225830319477,0.8177355966799597
27,ARIK,2022,01,20220329,0.343665471961611,0.022363838797224346,0.9711599107316433
28,ARIK,2022,06,20220330,0.29824194294778394,0.021097991838264493,0.7715371371333062
29,ARIK,2022,09,20220331,0.19708481111076692,0.02443709883946139,0.5990875963202195
30,BIGC,2018,01,20181015,0.6590197617458479,0.330048334388594,0.8738061893712474
31,BIGC,2018,04,20181017,0.9426066885339377,0.8729944566146892,0.9779504699391761
32,BIGC,2018,07,20181018,0.9616765804781795,0.8920043580103231,0.9880742256250069
33,BIGC,2019,01,20190422,0.7834429431442793,0.39105713405705017,0.9486479020259192
34,BIGC,2019,04,20190423,0.667465849060244,0.23677165501111638,0.8477618364457888
35,BIGC,2019,07,20190424,0.5792478181810985,0.07683040555553011,0.8665210901841311
36,BIGC,2019,01,20191021,0.9489539278769192,0.8867100759944482,0.9806159786480206
37,BIGC,2019,04,20191022,0.8533325220457533,0.7049743732879392,0.9334851868314176
38,BIGC,2019,07,20191023,0.9364995568239263,0.8436132701396322,0.977771452253377
39,BIGC,2021,01,20210419,0.8765732402227833,0.7062927509013759,0.9595935287457943
40,BIGC,2021,04,20210420,0.9489206347513666,0.8086060662554353,0.9895137251126638
41,BIGC,2021,07,20210421,0.8381533514441504,0.6370239964205084,0.9291428218419187
42,BIGC,2022,01,20220425,0.5821260804898207,0.17442949665991625,0.8501592383855071
43,BIGC,2022,04,20220426,0.8702776366447059,0.7317320788465329,0.9448535880309539
44,BIGC,2022,07,20220427,0.9625075158898113,0.8996130624546823,0.9872517845800488
45,BIGC,2022,01,20221011,0.8285707848951458,0.2524666810184225,0.9756034251368044
46,BLDE,2018,02,20180918,0.6865132201413888,0.171674561388713,0.9297798957128925
47,BLDE,2018,03,20180918,0.5198814478245755,0.1401643817583873,0.8271879513014712
48,BLDE,2018,06,20180919,0.48784394446696827,0.03703081798442113,0.8409395917595406
49,BLDE,2019,02,20190923,0.6366306248769436,0.0743468583640686,0.8388134251601109
50,BLDE,2019,03,20190924,0.8781839691718469,0.7040751727011072,0.9567965424259204
51,BLDE,2019,06,20190925,0.41711815610421366,0.09558774218945837,0.7389821616409352
