site_id,date,reach,year,site_int,median_prob,.lower,.upper,note
ARIK,20160412,01,2016,1,0.281811232596043,0.2551885713487572,0.3197049221083698,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20160413,06,2016,2,0.17800409686408625,0.02458376803146081,0.392058094409604,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20160414,09,2016,3,0.340927338939793,0.1373194734400913,0.5025719275862479,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20161011,01,2016,4,0.1476710680422807,0.009335208561460598,0.3816138436510211,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20161011,06,2016,5,0.42981921546519586,0.253265949703643,0.5500645740897794,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20161012,09,2016,6,0.04700333881754974,0.007483541105071059,0.18083853598338281,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20170410,01,2017,7,0.3234395075812585,0.06008846482878853,0.5743270304342051,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20170411,06,2017,8,0.23574092656027848,0.10219475243788713,0.3431861944109048,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20170412,09,2017,9,0.5285577912397761,0.39927953784114684,0.6324827877881107,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20171017,01,2017,10,0.3086073166531408,0.15776955948148705,0.43341601226763116,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20171018,06,2017,11,0.19126639600425693,0.0739696444898186,0.31751934192081643,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20171019,09,2017,12,0.5363824567929592,0.4183915693631464,0.6247695928408169,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20180402,01,2018,13,0.28411611578344753,0.12568829197622586,0.41926070789058323,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20180403,06,2018,14,0.3084395004803778,0.16478342400767076,0.4626132055158856,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20180404,09,2018,15,0.4452279395534138,0.29266871882391265,0.5479934134897535,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20181015,01,2018,16,0.247743187663926,0.16762460894999043,0.3103680472248342,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20181017,06,2018,17,0.011057859887588048,0.001251955645512434,0.03211070350920325,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20181018,09,2018,18,0.13785130824063557,0.05398701383446268,0.22340430168575504,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20190409,01,2019,19,0.26933120088267887,0.0887071113396446,0.4352698526821272,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20190410,06,2019,20,0.3950947277628154,0.28352004878100884,0.4971394311816383,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20191014,01,2019,21,0.09099493699185265,0.026342378342094387,0.15966292673758053,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20191015,06,2019,22,0.20375260742384813,0.12595884112088673,0.2821235203628023,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20191016,09,2019,23,0.30092342228767666,0.23961688101599368,0.3578252481700894,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20210405,01,2021,24,0.07317586134932058,0.006938742423248094,0.28850068699283005,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20210406,06,2021,25,0.08934676949715228,0.006811975238569424,0.3138839044736704,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20210408,09,2021,26,0.152326601008286,0.009554071019644445,0.43305450588169553,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20220329,01,2022,27,0.130957153834399,0.007510885701751581,0.6933353564504622,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20220330,06,2022,28,0.1113534405700008,0.007082713272523916,0.38867546226625294,median and lower/upper 95% credible intervals of capture probabilities on the first pass
ARIK,20220331,09,2022,29,0.07055667111181796,0.00821300175698141,0.2626378876746885,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20181015,01,2018,30,0.30137764498154185,0.12501219146904075,0.4984283347740098,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20181017,04,2018,31,0.6142678148477829,0.4973406229383719,0.719597983135695,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20181018,07,2018,32,0.6628513556937674,0.523787054344864,0.771535922707917,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20190422,01,2019,33,0.3994846591691418,0.15264280722308393,0.6283487954021965,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20190423,04,2019,34,0.3071935058341198,0.08613319780909341,0.46604180895251773,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20190424,07,2019,35,0.25066636515089247,0.02629646603688695,0.4889674505656159,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20191021,01,2019,36,0.6290455057009683,0.5161290408085514,0.7313752888103775,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20191022,04,2019,37,0.4726350655255457,0.3342894071303542,0.594853481791344,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20191023,07,2019,38,0.6010434631947046,0.46123476021342114,0.7188333678992647,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20210419,01,2021,39,0.5021087932823307,0.3352822650541649,0.6568888192521621,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20210420,04,2021,40,0.6289660102449269,0.4237122035056089,0.781132021266564,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20210421,07,2021,41,0.45503592642943413,0.28668217552039815,0.5861960821612643,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20220425,01,2022,42,0.25237861055205296,0.0619126242200023,0.4688783495628535,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20220426,04,2022,43,0.49378230811876456,0.3550609749817412,0.6193675998831237,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20220427,07,2022,44,0.6653059459579598,0.535244244054681,0.7663952182639058,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BIGC,20221011,01,2022,45,0.44448729974155443,0.09252208217426691,0.709970292976625,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20180918,02,2018,46,0.3206829445517728,0.06091268775341638,0.5874400771208482,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20180918,03,2018,47,0.2169620843927733,0.04909277217940333,0.4429987354665662,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20180919,06,2018,48,0.19991874138345633,0.012499373616275166,0.4582557359980304,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20190923,02,2019,49,0.28640889749411413,0.025424013015631533,0.4557778949936132,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20190924,03,2019,50,0.5042829424835293,0.3336182706656094,0.6491114813977703,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20190925,06,2019,51,0.16466597071563815,0.03293565178260137,0.36092233825898873,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20201006,02,2020,52,0.2770729082080342,0.05323810936930578,0.47440497435424656,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20210927,02,2021,53,0.38253379386255215,0.12632286111080718,0.5483095402064783,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20210928,03,2021,54,0.3224952396517745,0.15754083395616236,0.4786620822210411,median and lower/upper 95% credible intervals of capture probabilities on the first pass
BLDE,20210929,06,2021,55,0.31457201586485656,0.141626231557831,0.45956089099228487,median and lower/upper 95% credible intervals of capture probabilities on the first pass
