uid,domainID,siteID,namedLocation,collectDate,stationToInjectionDistance,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,sampleCollected,saltBackgroundSampleID,saltBackgroundSampleCode,remarks,incompleteExperimentQF
"d34d689e-90a1-4012-87d2-7065f80d7a50","D13","COMO","COMO.AOS.reaeration.station.01","2021-07-15T17:03Z",18.60,17.70,17.40,17.20,17.40,"Y","COMO.B1.20210715.TCR","A00000247873",,
"8f28e904-80db-457b-8a0b-6cfcba518a76","D13","COMO","COMO.AOS.reaeration.station.03","2021-07-15T17:03Z",68.60,17.10,17.00,17.10,17.00,"Y","COMO.B3.20210715.TCR","A00000247905",,
"76cd93b3-c6d6-4d1e-960d-ca263c3e7319","D13","COMO","COMO.AOS.reaeration.station.02","2021-07-15T17:03Z",38.60,17.10,17.30,17.20,17.10,"Y","COMO.B2.20210715.TCR","A00000247889",,
"2cfd87d7-4925-40a7-83d9-03725cc50775","D13","COMO","COMO.AOS.reaeration.station.04","2021-07-15T17:03Z",101.60,17.00,17.20,17.10,17.40,"Y","COMO.B4.20210715.TCR","A00000247921",,
"4fec678a-075e-407c-b057-b212272a0c90","D13","COMO","COMO.AOS.reaeration.station.04","2021-07-22T14:46Z",101.60,20.10,20.30,19.60,19.40,"Y","COMO.B4.20210722.TCR","A00000248320",,
"f6d93221-cadc-4c8a-83fb-f60aa676f119","D13","COMO","COMO.AOS.reaeration.station.03","2021-07-22T14:46Z",68.60,19.80,19.80,19.90,19.70,"Y","COMO.B3.20210722.TCR","A00000248319",,
"ef600912-e605-47e3-ab40-5878d002f108","D13","COMO","COMO.AOS.reaeration.station.01","2021-07-22T14:46Z",18.60,19.70,19.60,19.70,19.70,"Y","COMO.B1.20210722.TCR","A00000248382",,
"559b1ff7-02ee-482e-9117-120442ce9901","D13","COMO","COMO.AOS.reaeration.station.02","2021-07-22T14:46Z",38.60,19.80,19.70,19.70,19.70,"Y","COMO.B2.20210722.TCR","A00000248398",,
"4906e0ac-7299-4c6e-8d25-237e1f38060c","D13","COMO","COMO.AOS.reaeration.station.03","2021-07-26T16:23Z",68.60,20.50,20.40,20.50,20.40,"Y","COMO.B3.20210726.TCR","A00000248408",,
"5d143009-4f3e-48e5-bb8c-753b7125f5e3","D13","COMO","COMO.AOS.reaeration.station.04","2021-07-26T16:23Z",101.60,20.70,20.60,20.50,20.60,"Y","COMO.B4.20210726.TCR","A00000248407",,
"0a5d6dd1-3f75-402f-86b4-80423c9798dd","D13","COMO","COMO.AOS.reaeration.station.02","2021-07-26T16:23Z",38.60,20.50,20.40,20.50,20.40,"Y","COMO.B2.20210726.TCR","A00000248409",,
"97f648a5-e0c0-4551-a3a2-84014331cca4","D13","COMO","COMO.AOS.reaeration.station.01","2021-07-26T16:23Z",18.60,20.50,20.60,20.30,21.30,"Y","COMO.B1.20210726.TCR","A00000248410",,
