uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"8cd5f162-fcd2-4ece-ab83-7d4f518bcf5f","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",542,"2020-09-09T16:25:10Z",17.80,14.70,2.19,26.05,31.54,25.73,31.16
"021935d5-e003-4e1b-91a0-d454a5372a4f","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",519,"2020-09-09T16:21:20Z",17.80,15.10,2.19,26.76,31.54,26.43,31.16
"963e5708-42fe-4a3f-89dd-8dfbf8079a96","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",206,"2020-09-09T15:29:10Z",17.90,14.70,2.00,26.22,31.92,25.88,31.51
"bee88438-5363-4026-ba1c-6573c9fc1a3c","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",1077,"2020-09-09T17:54:20Z",125.50,120.50,2.41,211.95,220.74,209.55,218.25
"2b722336-865d-49f0-aab2-8d67c1a9524e","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",1210,"2020-09-09T18:16:30Z",43.30,37.40,2.46,65.67,76.03,64.94,75.19
"9b6301e5-a360-431a-9263-099eafe318a1","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",26,"2020-09-09T14:59:10Z",2.40,5.80,2.29,10.24,4.24,10.12,4.19
"64c8a4f7-6a33-4e55-8571-e139c5d23958","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",849,"2020-09-09T17:16:20Z",17.80,15.10,2.35,26.61,31.37,26.31,31.01
"cf7e19a6-6014-474f-b8fa-1e28e24687e1","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",1582,"2020-09-09T19:18:30Z",18.90,15.50,2.54,27.14,33.10,26.85,32.74
"7f704e18-4e68-4769-81a2-e5a35f5391e8","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",1128,"2020-09-09T18:02:50Z",198.40,195.10,2.43,342.93,348.74,339.08,344.82
"2bdcf630-79e8-45eb-a5ca-76c6ee97e10d","d8e6d7e8-be50-42d6-8bf5-dbbbfe01a25b","D13","COMO","COMO.AOS.reaeration.station.01","COMO_S1_20200909","2020-09-09T17:31Z",293,"2020-09-09T15:43:40Z",17.80,14.30,2.04,25.47,31.70,25.14,31.30
