uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"83f715f3-65eb-40b5-a0ea-94d6d5fefef5","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",1555,"2018-07-03T20:19:00Z",1.10,3.40,23.41,3.51,1.13,3.51,1.14
"50d69fdf-f964-4fef-bfaa-500c6541603d","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",1735,"2018-07-03T20:49:00Z",1.30,3.40,23.72,3.49,1.33,3.49,1.33
"7f2153dd-25c1-4c34-944b-85305a760579","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",300,"2018-07-03T16:49:50Z",52.40,50.70,9.11,72.79,75.23,73.14,75.60
"3e5798c2-c59a-4705-b750-db2d9ee6e6a5","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",683,"2018-07-03T17:53:40Z",54.00,52.50,10.25,73.09,75.18,73.53,75.63
"b917af31-9c57-460d-81fb-884723a08280","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",77,"2018-07-03T16:12:40Z",1.10,3.40,23.55,3.50,1.13,3.50,1.13
"6efa793f-764c-44a8-837e-f9bf6f66d897","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",1212,"2018-07-03T19:21:50Z",2.80,15.30,20.06,16.89,3.09,16.98,3.11
"cce21c5e-5e21-4919-a3d7-a05df79aac2f","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",513,"2018-07-03T17:25:20Z",53.30,51.40,9.70,72.62,75.31,73.02,75.72
"a2f45126-b3f4-45c1-8e17-7073a2a17e04","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",813,"2018-07-03T18:15:20Z",54.20,52.40,10.43,72.61,75.10,73.05,75.56
"29fb00aa-e7bc-42a4-932d-82b3f9a8c49e","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",40,"2018-07-03T16:06:30Z",1.30,3.40,22.40,3.58,1.37,3.59,1.37
"3131b293-94c9-45f4-80ba-7190c2d92040","8391256a-e49f-4e08-b0a3-40f90564fc1c","D12","BLDE","BLDE.AOS.reaeration.station.04","BLDE_S4_20180703","2018-07-03T17:00Z",1003,"2018-07-03T18:47:00Z",8.00,5.90,15.70,7.17,9.73,7.23,9.80
