uid,domainID,siteID,namedLocation,startDate,stationToInjectionDistance,hoboSampleID
"423b043d-7615-4a65-adfb-81b1ba9e81be","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-03-23T15:30Z",28.00,"HOPB_S1_20170323"
"264c1121-47a1-40e6-9691-b4085b95900e","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-03-23T15:30Z",295.00,"HOPB_S4_20170323"
