uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"42d4f0b1-a95d-478e-bc46-81fd333c97eb","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-25T15:04Z","2020-08-25T16:11Z",4,"COMO.04.20200825","COMO.04.20200825.GAS","COMO.04.20200825.TCR",,
"26ffec01-6415-43cb-b3d6-f71f2f150d56","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-25T15:04Z","2020-08-25T17:38Z",3,"COMO.08.20200825","COMO.08.20200825.GAS","COMO.08.20200825.TCR",,
"4d3c0329-4129-465d-94da-2e8e73d8f399","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-25T15:04Z","2020-08-25T17:48Z",3,"COMO.18.20200825","COMO.18.20200825.GAS","COMO.18.20200825.TCR",,
"eb7024bb-8087-4273-8444-69e55f8b762b","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-25T15:04Z","2020-08-25T17:48Z",2,"COMO.17.20200825","COMO.17.20200825.GAS","COMO.17.20200825.TCR",,
"c784de99-9e95-481e-836a-cb2524f06cf8","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-25T15:04Z","2020-08-25T16:11Z",1,"COMO.01.20200825","COMO.01.20200825.GAS","COMO.01.20200825.TCR",,
"cb680929-0c2a-451c-96c8-31ac8d7bb310","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-25T15:04Z","2020-08-25T16:11Z",2,"COMO.02.20200825","COMO.02.20200825.GAS","COMO.02.20200825.TCR",,
"b3a1c37e-fc20-4a28-95dc-c1fe58179f6f","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-25T15:04Z","2020-08-25T17:48Z",4,"COMO.19.20200825","COMO.19.20200825.GAS","COMO.19.20200825.TCR",,
"be986f90-fa2c-4bd9-887a-51059533dba3","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-25T15:04Z","2020-08-25T16:11Z",3,"COMO.03.20200825","COMO.03.20200825.GAS","COMO.03.20200825.TCR",,
"ff89d938-a049-4d3a-8598-b75b47310bb4","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-25T15:04Z","2020-08-25T17:48Z",1,"COMO.16.20200825","COMO.16.20200825.GAS","COMO.16.20200825.TCR",,
"0674c945-c313-458a-952e-f5db5ae934cf","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-25T15:04Z","2020-08-25T17:38Z",4,"COMO.09.20200825","COMO.09.20200825.GAS","COMO.09.20200825.TCR",,
"eb3787be-7a47-4700-aded-4bdc786367dc","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-25T15:04Z","2020-08-25T17:44Z",4,"COMO.14.20200825","COMO.14.20200825.GAS","COMO.14.20200825.TCR",,
"c8eb4501-be46-43f4-8719-7be315403b88","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-25T15:04Z","2020-08-25T17:38Z",2,"COMO.07.20200825","COMO.07.20200825.GAS","COMO.07.20200825.TCR",,
"c39b1d88-c172-43f8-889c-7023cefbabac","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-25T15:04Z","2020-08-25T17:38Z",5,"COMO.10.20200825","COMO.10.20200825.GAS","COMO.10.20200825.TCR",,
"0ea8c717-ab72-4f16-968c-ced873695658","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-25T15:04Z","2020-08-25T17:44Z",5,"COMO.15.20200825","COMO.15.20200825.GAS","COMO.15.20200825.TCR",,
"5546dee8-da0d-4a65-9eed-0ce676b02195","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-25T15:04Z","2020-08-25T17:48Z",5,"COMO.20.20200825","COMO.20.20200825.GAS","COMO.20.20200825.TCR",,
"7856d8da-fb7a-41f9-a279-86e2e166731e","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-25T15:04Z","2020-08-25T17:44Z",1,"COMO.11.20200825","COMO.11.20200825.GAS","COMO.11.20200825.TCR",,
"5c7c0276-0a19-4433-8527-9188c82bfcc6","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-25T15:04Z","2020-08-25T17:44Z",2,"COMO.12.20200825","COMO.12.20200825.GAS","COMO.12.20200825.TCR",,
"d1d7ec03-6dd3-4171-8d26-f6cd522ba96e","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-25T15:04Z","2020-08-25T16:11Z",5,"COMO.05.20200825","COMO.05.20200825.GAS","COMO.05.20200825.TCR",,
