uid,domainID,siteID,namedLocation,startDate,stationToInjectionDistance,hoboSampleID
"109c4615-d6da-4d04-a839-85651bc70ba8","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-09-27T13:20Z",222.00,"GUIL_S4_20190927"
"b15dd00b-9b50-4193-b268-5cc94b06a448","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-09-27T13:20Z",26.00,"GUIL_S1_20190927"
