uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"e14c5843-03be-433b-b0da-2550bb4073db","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-05-10T10:48Z","2017-05-10T17:34Z",4,"HOPB.19.20170510","HOPB.19.20170510.GAS","HOPB.19.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"795fa3ef-2508-4246-a92a-d492466e853e","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-05-10T10:48Z","2017-05-10T17:34Z",3,"HOPB.18.20170510","HOPB.18.20170510.GAS","HOPB.18.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"5833f811-2c4e-449a-ba48-ec89aac8f559","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-05-10T10:48Z","2017-05-10T17:34Z",5,"HOPB.20.20170510","HOPB.20.20170510.GAS","HOPB.20.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"42ad3800-9356-4612-bf52-11443e2423dd","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-05-10T10:48Z","2017-05-10T17:34Z",2,"HOPB.17.20170510","HOPB.17.20170510.GAS","HOPB.17.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"4dbc0874-d8c9-4869-b104-22a8d5d2c0f0","D01","HOPB","HOPB.AOS.reaeration.station.04","2017-05-10T10:48Z","2017-05-10T17:34Z",1,"HOPB.16.20170510","HOPB.16.20170510.GAS","HOPB.16.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"c363e7ef-8662-4958-a46a-3255dfb18f6d","D01","HOPB","HOPB.AOS.reaeration.station.02","2017-05-10T10:48Z","2017-05-10T17:21Z",1,"HOPB.06.20170510","HOPB.06.20170510.GAS","HOPB.06.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"cea3288f-d510-47b6-8c45-29d287c1a8b1","D01","HOPB","HOPB.AOS.reaeration.station.02","2017-05-10T10:48Z","2017-05-10T17:21Z",4,"HOPB.09.20170510","HOPB.09.20170510.GAS","HOPB.09.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"703b5241-b4fe-4392-8a21-7d21377e7a18","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-05-10T10:48Z","2017-05-10T17:12Z",3,"HOPB.03.20170510","HOPB.03.20170510.GAS","HOPB.03.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"6885ab1c-f7f8-4203-bb3b-89a4403c2aef","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-05-10T10:48Z","2017-05-10T17:12Z",4,"HOPB.04.20170510","HOPB.04.20170510.GAS","HOPB.04.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"1d96fc40-48f3-4537-9308-741732298f74","D01","HOPB","HOPB.AOS.reaeration.station.03","2017-05-10T10:48Z","2017-05-10T17:27Z",5,"HOPB.15.20170510","HOPB.15.20170510.GAS","HOPB.15.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"ca4c959b-30a0-49a3-9ac5-84961a63d422","D01","HOPB","HOPB.AOS.reaeration.station.01","2017-05-10T10:48Z","2017-05-10T17:12Z",5,"HOPB.05.20170510","HOPB.05.20170510.GAS","HOPB.05.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"d2a3a050-a9c5-45f5-bdf3-c3d8ae945bcb","D01","HOPB","HOPB.AOS.reaeration.station.03","2017-05-10T10:48Z","2017-05-10T17:27Z",3,"HOPB.13.20170510","HOPB.13.20170510.GAS","HOPB.13.20170510.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
