uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"2fd643f6-eb5a-4a5b-b2d5-a0c8cdeee9d9","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",761,"2021-09-07T23:06:40Z",542.50,529.50,23.40,546.19,559.60,547.21,560.65
"b36efae2-5a84-4800-bb75-211d02992fd3","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",1263,"2021-09-08T00:30:20Z",29.60,28.20,27.93,26.71,28.03,26.60,27.92
"63f1e5ff-397a-4274-b7cc-8c3238cbaaeb","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",1109,"2021-09-08T00:04:40Z",496.00,485.70,24.08,494.39,504.87,494.93,505.42
"75c7c584-f06a-414d-b957-5f7cafcebe63","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",1214,"2021-09-08T00:22:10Z",26.00,23.90,26.09,23.41,25.47,23.38,25.43
"c17071e8-e172-4d15-906e-d0511c79977d","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",419,"2021-09-07T22:09:40Z",540.80,526.50,22.64,551.35,566.33,552.84,567.85
"877278d1-ed3c-4026-844d-608870ccef10","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",733,"2021-09-07T23:02:00Z",544.00,531.40,23.33,548.91,561.92,549.98,563.02
"bed417e6-7081-407a-bc12-40c0d1961bb1","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",566,"2021-09-07T22:34:10Z",543.10,529.30,22.97,550.65,565.01,551.94,566.33
"988acf8c-f3f1-453f-a2c7-c7fe31587d14","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",676,"2021-09-07T22:52:30Z",543.90,531.10,23.21,549.90,563.15,551.04,564.32
"f7f2604a-2b60-4c66-9185-0688c3b296b6","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",921,"2021-09-07T23:33:20Z",533.60,521.00,23.73,533.95,546.87,534.75,547.68
"94a2c790-0424-4fd8-b42d-d0b685eca0d7","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",187,"2021-09-07T21:31:00Z",3.20,4.20,30.30,3.81,2.91,3.79,2.88
"b7b46fa9-2abf-4a8c-a472-509f2b812717","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",1296,"2021-09-08T00:35:50Z",31.90,30.70,28.14,28.96,30.10,28.84,29.97
"004362fd-54cd-43dd-a423-a7149cde6cbd","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",166,"2021-09-07T21:27:30Z",3.20,15.40,29.56,14.17,2.94,14.08,2.93
"95448282-61df-40f8-9322-d3ec09de4047","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",373,"2021-09-07T22:02:00Z",540.20,525.40,22.55,551.19,566.72,552.73,568.30
"f30463a6-36e0-44bb-b570-bc7c49ccd4fd","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",179,"2021-09-07T21:29:40Z",3.30,4.90,29.90,4.48,3.02,4.45,3.00
"35bf6f0e-3122-419b-a438-691956aa78ea","18e99c20-6ec7-4d99-b10d-3706f92402d6","D11","BLUE","BLUE.AOS.reaeration.station.04","BLUE_S4_20210907","2021-09-07T18:25Z",449,"2021-09-07T22:14:40Z",541.30,527.20,22.70,551.42,566.17,552.87,567.66
